Franchise ID,Team,Team Name,League,From,To
1,TCB,Tri-Cities Blackhawks,NBL,1947,1949
9,FWZ,Fort Wayne Zollner Pistons,NBL,1941,1948
14,MNN,Minneapolis Lakers,NBL,1948,1948
14,DTG,Detroit Gems,NBL,1947,1947
23,SYN,Syracuse Nationals,NBL,1947,1949
26,RCR,Rochester Royals,NBL,1946,1948
31,ADP,Anderson Duffey Packers,NBL,1947,1949
35,DNV,Denver Nuggets,NBL,1949,1949
37,INK,Indianapolis Kautskys,NBL,1938,1948
45,SHR,Sheboygan Redskins,NBL,1939,1949
53,WTH,Waterloo Hawks,NBL,1949,1949
54,AFN,Akron Firestone Non-Skids,NBL,1938,1941
55,AGW,Akron Goodyear Wingfoots,NBL,1938,1942
56,BFB,Buffalo Bisons,NBL,1938,1938
57,CAG,Chicago American Gears,NBL,1944,1947
57,CSF,Chicago Studebaker Flyers,NBL,1943,1943
57,CHB,Chicago Bruins,NBL,1940,1942
58,CNC,Cincinnati Comellos,NBL,1938,1938
59,CAT,Cleveland Allmen Transfers,NBL,1945,1946
59,CCB,Cleveland Chase Brassmen,NBL,1944,1945
60,CAS,Columbus Athletic Supply,NBL,1938,1938
61,DYM,Dayton Metropolitans,NBL,1938,1938
62,DYR,Dayton Rens,NBL,1949,1949
63,DTE,Detroit Eagles,NBL,1940,1941
63,CWH,Cleveland White Horses,NBL,1939,1939
63,WRP,Warren Penns,NBL,1938,1938
64,DVK,Detroit Vagabond Kings,NBL,1949,1949
65,FDA,Flint Dow A.C.'s,NBL,1948,1948
66,FWG,Fort Wayne General Electrics,NBL,1938,1938
67,HCB,Hammond Calumet Buccaneers,NBL,1949,1949
68,HCA,Hammond Ciesar All-Americans,NBL,1939,1941
68,WCA,Whiting Ciesar All-Americans,NBL,1938,1938
69,KGT,Kankakee Gallagher Trojans,NBL,1938,1938
70,OAS,Oshkosh All-Stars,NBL,1938,1949
71,PTS,Pittsburgh Pirates,NBL,1938,1939
72,PTR,Pittsburgh Raiders,NBL,1945,1945
73,TLJ,Toledo Jeeps,NBL,1947,1948
74,TJW,Toledo Jim White Chevrolets,NBL,1942,1943
75,YNB,Youngstown Bears,NBL,1946,1947
