Year,League,URL
1947,BAA,https://www.basketball-reference.com/leagues/BAA_1947.html
1948,BAA,https://www.basketball-reference.com/leagues/BAA_1948.html
1949,BAA,https://www.basketball-reference.com/leagues/BAA_1949.html
1950,NBA,https://www.basketball-reference.com/leagues/NBA_1950.html
1951,NBA,https://www.basketball-reference.com/leagues/NBA_1951.html
1952,NBA,https://www.basketball-reference.com/leagues/NBA_1952.html
1953,NBA,https://www.basketball-reference.com/leagues/NBA_1953.html
1954,NBA,https://www.basketball-reference.com/leagues/NBA_1954.html
1955,NBA,https://www.basketball-reference.com/leagues/NBA_1955.html
1956,NBA,https://www.basketball-reference.com/leagues/NBA_1956.html
1957,NBA,https://www.basketball-reference.com/leagues/NBA_1957.html
1958,NBA,https://www.basketball-reference.com/leagues/NBA_1958.html
1959,NBA,https://www.basketball-reference.com/leagues/NBA_1959.html
1960,NBA,https://www.basketball-reference.com/leagues/NBA_1960.html
1961,NBA,https://www.basketball-reference.com/leagues/NBA_1961.html
1962,NBA,https://www.basketball-reference.com/leagues/NBA_1962.html
1963,NBA,https://www.basketball-reference.com/leagues/NBA_1963.html
1964,NBA,https://www.basketball-reference.com/leagues/NBA_1964.html
1965,NBA,https://www.basketball-reference.com/leagues/NBA_1965.html
1966,NBA,https://www.basketball-reference.com/leagues/NBA_1966.html
1967,NBA,https://www.basketball-reference.com/leagues/NBA_1967.html
1968,NBA,https://www.basketball-reference.com/leagues/NBA_1968.html
1969,NBA,https://www.basketball-reference.com/leagues/NBA_1969.html
1970,NBA,https://www.basketball-reference.com/leagues/NBA_1970.html
1971,NBA,https://www.basketball-reference.com/leagues/NBA_1971.html
1972,NBA,https://www.basketball-reference.com/leagues/NBA_1972.html
1973,NBA,https://www.basketball-reference.com/leagues/NBA_1973.html
1974,NBA,https://www.basketball-reference.com/leagues/NBA_1974.html
1975,NBA,https://www.basketball-reference.com/leagues/NBA_1975.html
1976,NBA,https://www.basketball-reference.com/leagues/NBA_1976.html
1977,NBA,https://www.basketball-reference.com/leagues/NBA_1977.html
1978,NBA,https://www.basketball-reference.com/leagues/NBA_1978.html
1979,NBA,https://www.basketball-reference.com/leagues/NBA_1979.html
1980,NBA,https://www.basketball-reference.com/leagues/NBA_1980.html
1981,NBA,https://www.basketball-reference.com/leagues/NBA_1981.html
1982,NBA,https://www.basketball-reference.com/leagues/NBA_1982.html
1983,NBA,https://www.basketball-reference.com/leagues/NBA_1983.html
1984,NBA,https://www.basketball-reference.com/leagues/NBA_1984.html
1985,NBA,https://www.basketball-reference.com/leagues/NBA_1985.html
1986,NBA,https://www.basketball-reference.com/leagues/NBA_1986.html
1987,NBA,https://www.basketball-reference.com/leagues/NBA_1987.html
1988,NBA,https://www.basketball-reference.com/leagues/NBA_1988.html
1989,NBA,https://www.basketball-reference.com/leagues/NBA_1989.html
1990,NBA,https://www.basketball-reference.com/leagues/NBA_1990.html
1991,NBA,https://www.basketball-reference.com/leagues/NBA_1991.html
1992,NBA,https://www.basketball-reference.com/leagues/NBA_1992.html
1993,NBA,https://www.basketball-reference.com/leagues/NBA_1993.html
1994,NBA,https://www.basketball-reference.com/leagues/NBA_1994.html
1995,NBA,https://www.basketball-reference.com/leagues/NBA_1995.html
1996,NBA,https://www.basketball-reference.com/leagues/NBA_1996.html
1997,NBA,https://www.basketball-reference.com/leagues/NBA_1997.html
1998,NBA,https://www.basketball-reference.com/leagues/NBA_1998.html
1999,NBA,https://www.basketball-reference.com/leagues/NBA_1999.html
2000,NBA,https://www.basketball-reference.com/leagues/NBA_2000.html
2001,NBA,https://www.basketball-reference.com/leagues/NBA_2001.html
2002,NBA,https://www.basketball-reference.com/leagues/NBA_2002.html
2003,NBA,https://www.basketball-reference.com/leagues/NBA_2003.html
2004,NBA,https://www.basketball-reference.com/leagues/NBA_2004.html
2005,NBA,https://www.basketball-reference.com/leagues/NBA_2005.html
2006,NBA,https://www.basketball-reference.com/leagues/NBA_2006.html
2007,NBA,https://www.basketball-reference.com/leagues/NBA_2007.html
2008,NBA,https://www.basketball-reference.com/leagues/NBA_2008.html
2009,NBA,https://www.basketball-reference.com/leagues/NBA_2009.html
2010,NBA,https://www.basketball-reference.com/leagues/NBA_2010.html
2011,NBA,https://www.basketball-reference.com/leagues/NBA_2011.html
2012,NBA,https://www.basketball-reference.com/leagues/NBA_2012.html
2013,NBA,https://www.basketball-reference.com/leagues/NBA_2013.html
2014,NBA,https://www.basketball-reference.com/leagues/NBA_2014.html
2015,NBA,https://www.basketball-reference.com/leagues/NBA_2015.html
2016,NBA,https://www.basketball-reference.com/leagues/NBA_2016.html
2017,NBA,https://www.basketball-reference.com/leagues/NBA_2017.html
2018,NBA,https://www.basketball-reference.com/leagues/NBA_2018.html
2019,NBA,https://www.basketball-reference.com/leagues/NBA_2019.html
2020,NBA,https://www.basketball-reference.com/leagues/NBA_2020.html
2021,NBA,https://www.basketball-reference.com/leagues/NBA_2021.html
2022,NBA,https://www.basketball-reference.com/leagues/NBA_2022.html
2023,NBA,https://www.basketball-reference.com/leagues/NBA_2023.html
2024,NBA,https://www.basketball-reference.com/leagues/NBA_2024.html
