year,league,url
1997,wnba,https://www.basketball-reference.com/wnba/years/1997.html
1998,wnba,https://www.basketball-reference.com/wnba/years/1998.html
1999,wnba,https://www.basketball-reference.com/wnba/years/1999.html
2000,wnba,https://www.basketball-reference.com/wnba/years/2000.html
2001,wnba,https://www.basketball-reference.com/wnba/years/2001.html
2002,wnba,https://www.basketball-reference.com/wnba/years/2002.html
2003,wnba,https://www.basketball-reference.com/wnba/years/2003.html
2004,wnba,https://www.basketball-reference.com/wnba/years/2004.html
2005,wnba,https://www.basketball-reference.com/wnba/years/2005.html
2006,wnba,https://www.basketball-reference.com/wnba/years/2006.html
2007,wnba,https://www.basketball-reference.com/wnba/years/2007.html
2008,wnba,https://www.basketball-reference.com/wnba/years/2008.html
2009,wnba,https://www.basketball-reference.com/wnba/years/2009.html
2010,wnba,https://www.basketball-reference.com/wnba/years/2010.html
2011,wnba,https://www.basketball-reference.com/wnba/years/2011.html
2012,wnba,https://www.basketball-reference.com/wnba/years/2012.html
2013,wnba,https://www.basketball-reference.com/wnba/years/2013.html
2014,wnba,https://www.basketball-reference.com/wnba/years/2014.html
2015,wnba,https://www.basketball-reference.com/wnba/years/2015.html
2016,wnba,https://www.basketball-reference.com/wnba/years/2016.html
2017,wnba,https://www.basketball-reference.com/wnba/years/2017.html
2018,wnba,https://www.basketball-reference.com/wnba/years/2018.html
2019,wnba,https://www.basketball-reference.com/wnba/years/2019.html
2020,wnba,https://www.basketball-reference.com/wnba/years/2020.html
2021,wnba,https://www.basketball-reference.com/wnba/years/2021.html
2022,wnba,https://www.basketball-reference.com/wnba/years/2022.html
2023,wnba,https://www.basketball-reference.com/wnba/years/2023.html
2024,wnba,https://www.basketball-reference.com/wnba/years/2024.html
